Model,Category,Task,UT Steps,Accuracy
Ouro-1.4B-Thinking,Main Tasks,igsm,1,9.0
Ouro-1.4B-Thinking,Main Tasks,n_ary,1,10.2
Ouro-1.4B-Thinking,Main Tasks,p_hop,1,0.33
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_code,1,55.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_equation,1,66.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_math,1,57.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_code,1,49.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_equation,1,65.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_math,1,60.0
