Model,Category,Task,UT Steps,Accuracy
Ouro-1.4B-Thinking,Main Tasks,igsm,3,12.0
Ouro-1.4B-Thinking,Main Tasks,n_ary,3,29.4
Ouro-1.4B-Thinking,Main Tasks,p_hop,3,28.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_code,3,97.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_equation,3,100.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_math,3,100.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_code,3,89.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_equation,3,88.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_math,3,93.0
