Model,Category,Task,UT Steps,Accuracy
Ouro-1.4B-Thinking,Main Tasks,igsm,2,13.0
Ouro-1.4B-Thinking,Main Tasks,n_ary,2,25.6
Ouro-1.4B-Thinking,Main Tasks,p_hop,2,21.67
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_code,2,95.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_equation,2,93.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_math,2,100.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_code,2,70.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_equation,2,79.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_math,2,77.0
