ut_steps,is_correct,generation_time,effective_depth,depth_efficiency,accuracy_pct
1,0.06777777777777778,2.3377693980499985,24,0.0028240740740740743,6.777777777777779
2,0.2288888888888889,4.375977130348887,48,0.004768518518518518,22.88888888888889
3,0.27,6.029577916571109,72,0.0037500000000000003,27.0
4,0.26970033296337403,7.57960141371143,96,0.0028093784683684794,26.970033296337405
5,0.24555555555555555,8.38089506242223,120,0.0020462962962962965,24.555555555555557
6,0.2966666666666667,10.409227298945568,144,0.0020601851851851853,29.666666666666668
7,0.23444444444444446,11.254305132177754,168,0.0013955026455026455,23.444444444444446
8,0.23222222222222222,12.783899834399975,192,0.0012094907407407408,23.22222222222222
12,0.23444444444444446,20.050380743431116,288,0.0008140432098765432,23.444444444444446
