ut_steps,main_accuracy,primitives_accuracy,main_accuracy_pct,primitives_accuracy_pct,gap
2,0.2288888888888889,0.8566666666666667,22.88888888888889,85.66666666666667,-62.777777777777786
3,0.27,0.945,27.0,94.5,-67.5
4,0.10111111111111111,0.34,10.11111111111111,34.0,-23.88888888888889
6,0.2966666666666667,0.975,29.666666666666668,97.5,-67.83333333333333
7,0.23444444444444446,0.97,23.444444444444446,97.0,-73.55555555555556
8,0.14666666666666667,0.24,14.666666666666666,24.0,-9.333333333333334
12,0.1334723670490094,0.8866666666666667,13.347236704900938,88.66666666666667,-75.31942996176574
